episode,global_step,mean_100,total_reward,steps
594,201066,141.58,269.66,192
595,201270,141.81,275.18,204
596,201471,142.05,283.99,201
597,201694,142.24,260.44,223
598,201919,142.5,298.13,225
599,202133,142.77,303.58,214
600,202342,143.05,311.41,209
601,202574,143.25,264.07,232
602,202746,143.42,241.89,172
603,202959,143.66,288.94,213
604,203113,143.5,46.26,154
605,203435,143.75,296.3,322
606,203665,143.96,273.29,230
607,203948,144.18,274.45,283
608,204042,143.98,24.01,94
609,204214,144.15,249.32,172
610,204392,144.3,235.86,178
611,204621,144.48,249.87,229
612,204793,144.64,247.42,172
613,204965,144.82,252.66,172
614,205188,145.05,287.89,223
615,205406,145.29,291.37,218
616,205585,145.45,246.16,179
617,205701,145.26,22.51,116
618,205890,145.41,239.45,189
619,206035,145.63,285.12,145
620,206226,145.82,261.28,191
621,206450,146.03,279.82,224
622,206584,145.79,-3.59,134
623,206771,146.03,295.08,187
624,207200,146.22,265.13,429
625,207361,146.38,246.7,161
626,207682,146.57,261.33,321
627,207847,146.77,273.01,165
628,208005,147.02,303.7,158
629,208155,147.16,236.78,150
630,208347,147.38,283.76,192
631,208800,147.53,244.16,453
632,209205,147.7,255.93,405
633,209644,147.8,209.24,439
634,209895,148.01,281.46,251
635,210228,148.18,256.61,333
636,210411,148.32,236.75,183
637,210753,148.54,287.8,342
638,210872,148.29,-7.97,119
639,211088,148.49,272.88,216
640,211432,148.63,236.83,344
641,211911,148.82,271.96,479
642,212149,149.05,296.1,238
643,212310,149.27,290.71,161
644,212656,149.46,275.75,346
645,212859,149.66,275.68,203
646,213177,149.83,263.49,318
647,213451,150.0,254.74,274
648,213548,149.87,70.47,97
649,213656,149.66,8.34,108
650,213771,149.51,55.47,115
651,213935,148.96,-208.88,164
652,214035,148.79,38.65,100
653,214210,148.97,267.79,175
654,214378,148.73,-11.69,168
655,214748,148.93,278.89,370
656,214842,148.38,-207.62,94
657,215842,148.08,-52.25,1000
658,216083,148.26,266.13,241
659,216288,148.47,287.18,205
660,216535,148.65,267.94,247
661,216825,148.79,240.48,290
662,216999,148.96,259.61,174
663,217148,149.15,279.07,149
664,217336,149.33,266.0,188
665,217579,149.49,254.7,243
666,217792,149.67,275.54,213
667,217968,149.85,266.43,176
668,218193,149.97,232.13,225
669,218348,150.14,262.91,155
670,218502,150.28,246.25,154
671,218730,150.46,270.81,228
672,219047,149.63,-408.85,317
673,219300,149.82,273.64,253
674,219617,149.98,256.89,317
675,219775,150.13,254.81,158
676,219955,150.29,256.78,180
677,220107,150.46,264.81,152
678,220347,150.66,290.13,240
679,220499,150.85,275.63,152
680,220795,151.0,253.53,296
681,220944,151.13,243.37,149
682,221133,151.28,252.45,189
683,221354,151.39,229.32,221
684,221509,151.59,284.19,155
685,221711,151.75,262.71,202
686,222024,151.39,-99.37,313
687,222180,151.57,278.95,156
688,222519,151.07,-192.63,339
689,222755,151.21,249.34,236
690,223303,151.29,204.99,548
691,223548,151.44,256.01,245
692,223807,151.6,259.58,259
693,223988,151.74,248.65,181
694,224194,151.89,258.17,206
695,224626,152.07,275.31,432
696,224741,151.87,16.6,115
697,225025,152.04,266.64,284
698,225247,152.18,249.2,222
699,225445,152.33,255.35,198
700,225689,152.49,265.9,244
701,225877,152.65,267.13,188
702,226038,152.83,278.46,161
703,226177,152.63,12.84,139
704,226321,152.81,278.63,144
705,226789,152.85,178.94,468
706,226895,152.65,11.79,106
707,227039,152.54,75.01,144
708,227235,152.72,282.5,196
709,227395,152.91,285.33,160
710,227744,153.08,276.69,349
711,227932,153.23,255.58,188
712,228112,153.38,263.36,180
713,228208,153.2,23.27,96
714,228378,153.32,238.19,170
715,228601,153.52,300.29,223
716,229072,153.57,191.18,471
717,229251,153.4,28.1,179
718,229411,153.57,272.63,160
719,230089,153.31,-32.7,678
720,230274,153.45,253.88,185
721,230532,153.62,277.11,258
722,230658,153.48,51.96,126
723,230765,153.27,4.09,107
724,230866,153.1,26.96,101
725,231100,153.24,260.09,234
726,232005,153.29,190.02,905
727,232118,153.1,13.89,113
728,232203,152.84,-38.44,85
729,232311,152.63,0.11,108
730,232409,152.28,-105.49,98
731,232514,152.09,12.02,105
732,232686,152.22,251.16,172
733,232938,152.4,286.47,252
734,233329,152.52,234.71,391
735,233750,152.62,231.66,421
736,234327,152.81,288.14,577
737,235327,152.52,-59.86,1000
738,235526,152.62,228.57,199
739,235846,152.82,296.69,320
740,236032,152.97,268.95,186
741,236228,153.12,257.9,196
742,236473,153.26,262.25,245
743,236719,153.43,279.51,246
744,236972,153.55,242.23,253
745,237140,153.75,302.18,168
746,238140,153.6,39.46,1000
747,238643,153.66,198.21,503
748,238948,153.81,265.45,305
749,239140,153.97,273.64,192
750,239370,154.13,275.86,230
751,239555,154.29,272.77,185
752,239732,154.48,297.95,177
753,239987,154.64,273.76,255
754,240236,154.82,297.26,249
755,240392,154.98,274.3,156
756,240638,155.13,265.34,246
757,240883,155.3,282.29,245
758,241261,155.45,274.77,378
759,241969,154.88,-280.46,708
760,242119,154.77,74.33,150
761,242314,154.91,257.78,195
762,242532,155.09,289.84,218
763,242729,155.23,267.52,197
764,242995,155.39,274.14,266
765,243293,155.55,276.71,298
766,243479,155.69,265.3,186
767,243745,155.83,261.0,266
768,243914,156.01,299.45,169
769,244293,156.18,281.25,379
770,244553,156.38,312.94,260
771,245031,156.48,230.51,478
772,245384,156.62,265.64,353
773,245616,156.73,245.46,232
774,245888,156.86,255.07,272
775,246152,157.0,265.75,264
776,246444,157.14,263.9,292
777,246692,157.32,298.52,248
778,246952,157.46,267.51,260
779,247269,157.59,257.72,317
780,247495,157.69,238.64,226
781,247848,157.84,272.23,353
782,248605,157.95,247.03,757
783,248983,158.08,261.3,378
784,249236,158.2,251.41,253
785,249442,158.3,234.23,206
786,249722,158.43,263.54,280
787,249921,158.56,254.42,199
788,250269,158.68,259.83,348
789,250439,158.88,312.65,170
790,250709,159.03,281.71,270
791,250958,159.15,251.12,249
792,251205,159.3,274.53,247
793,251460,159.42,256.94,255
794,251772,159.55,263.0,312
795,252007,159.64,232.72,235
796,252519,159.74,238.77,512
797,252769,159.87,264.36,250
798,252983,159.98,249.05,214
799,253199,160.11,258.87,216
800,253428,160.24,269.84,229
801,254329,159.81,-187.78,901
802,254552,159.95,269.36,223
803,254637,159.59,-129.49,85
804,255042,159.72,267.12,405
805,255359,159.81,229.77,317
806,255596,159.93,262.77,237
807,255960,160.04,244.88,364
808,256186,160.18,270.02,226
809,256456,160.28,241.3,270
810,256688,160.4,258.03,232
811,257688,160.15,-37.93,1000
812,257944,160.29,269.54,256
813,258231,160.41,260.04,287
814,258562,160.55,273.54,331
815,258824,160.63,231.07,262
816,259096,160.77,270.61,272
817,259366,160.87,244.17,270
818,259643,161.03,293.61,277
819,259902,161.15,255.4,259
820,260148,161.28,273.22,246
821,260226,161.06,-19.89,78
822,260480,161.2,271.09,254
823,260824,161.33,269.63,344
824,261579,161.39,208.67,755
825,261813,161.49,243.98,234
826,262145,161.57,231.97,332
827,262599,161.65,223.86,454
828,262876,161.76,254.14,277
829,263127,161.84,227.38,251
830,263498,161.93,237.71,371
831,263841,162.04,253.22,343
832,264164,162.18,277.61,323
833,264390,162.29,259.47,226
834,264705,162.44,280.39,315
835,264967,162.56,262.63,262
836,265199,162.65,240.27,232
837,265580,162.69,199.09,381
838,265816,162.81,260.46,236
839,266037,162.91,247.24,221
840,266463,163.02,254.77,426
841,266704,163.14,265.77,241
842,266992,163.25,258.28,288
843,267256,163.35,244.04,264
844,267469,163.46,253.78,213
845,267724,163.55,242.23,255
846,267982,163.67,262.69,258
847,268245,163.78,263.29,263
848,268556,163.87,234.11,311
849,268740,164.01,282.92,184
850,268973,164.14,276.23,233
851,269168,164.27,273.33,195
852,269385,164.39,269.34,217
853,269675,164.53,280.6,290
854,269925,164.63,258.12,250
855,270598,164.68,206.04,673
856,270980,164.77,241.82,382
857,271196,164.89,264.06,216
858,271400,165.0,261.49,204
859,271623,165.1,253.47,223
860,271841,165.19,239.76,218
861,272057,165.27,236.83,216
862,272276,165.4,272.67,219
863,272523,165.52,272.5,247
864,272748,165.63,259.68,225
865,273001,165.73,249.42,253
866,273204,165.83,256.67,203
867,273420,165.93,251.77,216
868,273698,166.07,283.63,278
869,273928,166.18,268.3,230
870,274155,166.32,283.32,227
871,274384,166.42,258.17,229
872,275040,166.54,265.96,656
873,275285,166.67,283.95,245
874,275563,166.83,301.18,278
875,275796,166.97,289.93,233
876,275989,166.28,-432.8,193
877,276172,166.35,227.29,183
878,276447,166.49,285.3,275
879,277230,166.58,247.61,783
880,277467,166.68,254.81,237
881,277717,166.82,293.6,250
882,277931,166.94,268.43,214
883,278131,167.03,244.35,200
884,278354,167.13,261.01,223
885,278571,167.19,214.9,217
886,278793,167.3,268.5,222
887,279035,167.41,264.01,242
888,279267,167.5,245.89,232
889,279640,167.62,273.85,373
890,279883,167.7,236.25,243
891,280071,167.8,262.45,188
892,280331,167.93,285.43,260
893,280545,168.02,248.09,214
894,280802,168.14,269.07,257
895,281068,168.25,271.53,266
896,281316,168.37,274.71,248
897,281531,168.44,235.05,215
898,281748,168.57,278.94,217
